Nummer,Parameter,Relevant,dtype,Kommentar
1,BMS_AC_S_L1,y,float32,
2,BMS_AC_S_L2,y,float32,
3,BMS_AC_S_L3,y,float32,
4,BMS_MAX_VOLTAGE,y,float32,
5,BMS_MIN_VOLTAGE,y,float32,
6,BMS_STATE,y,float32,
7,CHARGE_CYCLES,y,float32,
8,CONDITIONING_REQUEST,n,float32,
9,CUMULATIVE_CC,y,float32,
10,CUMULATIVE_CE,y,float32,
11,CUMULATIVE_DC,y,float32,
12,CUMULATIVE_DE,y,float32,
13,CURRENT,y,float32,
14,CURRENT_CLIMATE_COMPRESSOR,n,float32,
15,CURRENT_DEVICE,n,float32,
16,CURRENT_HEATING_BATTERY,y,float32,
17,CURRENT_LEFT_SEAT_HEATING,n,float32,
18,CURRENT_PTC_AIR_HEATER,n,float32,
19,CURRENT_RIGHT_SEAT_HEATING,n,float32,
20,DATA_NUMBER,n,float64,
21,DCDC_INPUT_POWER,n,float32,
22,DCDC_OUTPUT_CURRENT,n,float32,
23,DWA_INTERIOR_AVAIABLE,n,float32,
24,ENERGY_NOMINAL_FULL_PACK,y,float32,
25,ENERGY_REMAINING_EXPECTED,y,float32,
26,ENERGY_REMAINING_IDEAL,y,float32,
27,ENERGY_TO_CHARGE_COMPLETE,y,float32,
28,ENGINE_TYPE,n,float32,
29,FRONT_TORQUE_ACTUAL,n,float32,
30,GEAR_POSITION,n,float32,
31,IGNITION,y,float32,
32,MILEAGE,y,float32,
33,MILEAGE_FILTERED,y,float32,
34,PEDAL_POSITION,n,float32,
35,POWER_CLIMATE_COMPRESSOR,n,float32,
36,R_CONN_DEVICE,n,float32,
37,RANGE,y,float32,
38,REMAINING_CHARGING_TIME,y,float32,
39,RPM_CLIMATE_COMPESSOR,n,float32,
40,RTC_VOLTAGE_DEVICE,n,float32,
41,SOC_DISPLAY,y,float32,
42,SOC_REAL,y,float32,
43,SPEED,n,float32,
44,T_BATTERY_INLET,y,float32,
45,T_BATTERY_OUTLET,y,float32,
46,T_CELL_AVG,y,float32,
47,T_CELL_MAX,y,float32,
48,T_CELL_MAX_NUMBER,y,float32,
49,T_CELL_MIN,y,float32,
50,T_CELL_MIN_NUMBER,y,float32,
51,T_INSIDE,n,float32,
52,T_LEFT_SEAT_HEATING,n,float32,
53,T_MODULE_01,y,float32,
54,T_MODULE_02,y,float32,
55,T_MODULE_03,y,float32,
56,T_MODULE_04,y,float32,
57,T_MODULE_05,y,float32,
58,T_MODULE_06,y,float32,
59,T_MODULE_07,y,float32,
60,T_MODULE_08,y,float32,
61,T_MODULE_09,y,float32,
62,T_MODULE_10,y,float32,
63,T_MODULE_11,y,float32,
64,T_MODULE_12,y,float32,
65,T_MODULE_13,y,float32,
66,T_MODULE_14,y,float32,
67,T_MODULE_15,y,float32,
68,T_MODULE_16,y,float32,
69,T_MODULE_17,y,float32,
70,T_MODULE_18,y,float32,
71,T_OUTSIDE,y,float32,
72,T_RIGHT_SEAT_HEATING,n,float32,
73,time,y,,timestamp ab 28.07.2025
74,tms,y,,timestamp ab 01.04.2024 bis einschliesslich 27.07.2025
75,TORQUE_ACTUAL_REAR,n,float32,
76,Unnamed: 0,y,,Timestamp bis 31.03.2024
77,VOLTAGE,y,float32,
78,VOLTAGE_12V,n,float32,
79,VOLTAGE_CELL_001,y,float32,
80,VOLTAGE_CELL_002,y,float32,
81,VOLTAGE_CELL_003,y,float32,
82,VOLTAGE_CELL_004,y,float32,
83,VOLTAGE_CELL_005,y,float32,
84,VOLTAGE_CELL_006,y,float32,
85,VOLTAGE_CELL_007,y,float32,
86,VOLTAGE_CELL_008,y,float32,
87,VOLTAGE_CELL_009,y,float32,
88,VOLTAGE_CELL_010,y,float32,
89,VOLTAGE_CELL_011,y,float32,
90,VOLTAGE_CELL_012,y,float32,
91,VOLTAGE_CELL_013,y,float32,
92,VOLTAGE_CELL_014,y,float32,
93,VOLTAGE_CELL_015,y,float32,
94,VOLTAGE_CELL_016,y,float32,
95,VOLTAGE_CELL_017,y,float32,
96,VOLTAGE_CELL_018,y,float32,
97,VOLTAGE_CELL_019,y,float32,
98,VOLTAGE_CELL_020,y,float32,
99,VOLTAGE_CELL_021,y,float32,
100,VOLTAGE_CELL_022,y,float32,
101,VOLTAGE_CELL_023,y,float32,
102,VOLTAGE_CELL_024,y,float32,
103,VOLTAGE_CELL_025,y,float32,
104,VOLTAGE_CELL_026,y,float32,
105,VOLTAGE_CELL_027,y,float32,
106,VOLTAGE_CELL_028,y,float32,
107,VOLTAGE_CELL_029,y,float32,
108,VOLTAGE_CELL_030,y,float32,
109,VOLTAGE_CELL_031,y,float32,
110,VOLTAGE_CELL_032,y,float32,
111,VOLTAGE_CELL_033,y,float32,
112,VOLTAGE_CELL_034,y,float32,
113,VOLTAGE_CELL_035,y,float32,
114,VOLTAGE_CELL_036,y,float32,
115,VOLTAGE_CELL_037,y,float32,
116,VOLTAGE_CELL_038,y,float32,
117,VOLTAGE_CELL_039,y,float32,
118,VOLTAGE_CELL_040,y,float32,
119,VOLTAGE_CELL_041,y,float32,
120,VOLTAGE_CELL_042,y,float32,
121,VOLTAGE_CELL_043,y,float32,
122,VOLTAGE_CELL_044,y,float32,
123,VOLTAGE_CELL_045,y,float32,
124,VOLTAGE_CELL_046,y,float32,
125,VOLTAGE_CELL_047,y,float32,
126,VOLTAGE_CELL_048,y,float32,
127,VOLTAGE_CELL_049,y,float32,
128,VOLTAGE_CELL_050,y,float32,
129,VOLTAGE_CELL_051,y,float32,
130,VOLTAGE_CELL_052,y,float32,
131,VOLTAGE_CELL_053,y,float32,
132,VOLTAGE_CELL_054,y,float32,
133,VOLTAGE_CELL_055,y,float32,
134,VOLTAGE_CELL_056,y,float32,
135,VOLTAGE_CELL_057,y,float32,
136,VOLTAGE_CELL_058,y,float32,
137,VOLTAGE_CELL_059,y,float32,
138,VOLTAGE_CELL_060,y,float32,
139,VOLTAGE_CELL_061,y,float32,
140,VOLTAGE_CELL_062,y,float32,
141,VOLTAGE_CELL_063,y,float32,
142,VOLTAGE_CELL_064,y,float32,
143,VOLTAGE_CELL_065,y,float32,
144,VOLTAGE_CELL_066,y,float32,
145,VOLTAGE_CELL_067,y,float32,
146,VOLTAGE_CELL_068,y,float32,
147,VOLTAGE_CELL_069,y,float32,
148,VOLTAGE_CELL_070,y,float32,
149,VOLTAGE_CELL_071,y,float32,
150,VOLTAGE_CELL_072,y,float32,
151,VOLTAGE_CELL_073,y,float32,
152,VOLTAGE_CELL_074,y,float32,
153,VOLTAGE_CELL_075,y,float32,
154,VOLTAGE_CELL_076,y,float32,
155,VOLTAGE_CELL_077,y,float32,
156,VOLTAGE_CELL_078,y,float32,
157,VOLTAGE_CELL_079,y,float32,
158,VOLTAGE_CELL_080,y,float32,
159,VOLTAGE_CELL_081,y,float32,
160,VOLTAGE_CELL_082,y,float32,
