Time Stamp,ID,Extended,Dir,DLC,D1,D2,D3,D4,D5,D6,D7,D8
2.893600,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
2.894950,0x06F,0,0,8,0x69,0x44,0xAF,0x3A,0x13,0x46,0x91,0x8D
3.091850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.092850,0x06F,0,0,8,0x6F,0xFC,0xEE,0xB8,0x57,0xF2,0x8E,0x9B
3.293600,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.294900,0x06F,0,0,8,0x59,0x8C,0xEE,0xB9,0x39,0x22,0xF3,0x87
3.485850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.486850,0x06F,0,0,8,0x53,0xA4,0x8E,0x3A,0xE8,0x01,0xD2,0x8F
3.683850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
3.684850,0x06F,0,0,8,0x4F,0x44,0xAE,0xBB,0xEE,0x39,0xEF,0xA4
3.881350,0x06F,0,0,8,0x31,0xDC,0x2D,0x3B,0x54,0x12,0xD3,0x94
3.882000,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.079850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.080800,0x06F,0,0,8,0x3B,0xAC,0xAD,0xBF,0x7C,0x62,0x14,0x82
4.277850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.278800,0x06F,0,0,8,0x3B,0xA4,0x4D,0x40,0x70,0xDA,0x34,0x7B
4.475850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.476800,0x06F,0,0,8,0x45,0xA4,0x6D,0x42,0x11,0x82,0xF2,0x81
4.673850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.674800,0x06F,0,0,8,0x37,0xEC,0x4D,0xC2,0x21,0x6A,0x71,0x87
4.871850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
4.872950,0x06F,0,0,8,0x23,0xB4,0x6D,0x42,0xDD,0x81,0x70,0x8E
5.069350,0x06F,0,0,8,0x0F,0x74,0x2D,0x42,0x08,0xCE,0xD1,0x84
5.070000,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.267350,0x06F,0,0,8,0x07,0xAC,0xED,0xC2,0xF7,0xA9,0x72,0x81
5.268000,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.465850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.466850,0x06F,0,0,8,0x05,0x7C,0xAD,0x41,0xC3,0x11,0x30,0x81
5.663400,0x06F,0,0,8,0x0D,0x8C,0x4D,0x42,0xFD,0x8D,0x10,0x7E
5.664050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.861850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
5.863000,0x06F,0,0,8,0xF3,0xB3,0xCD,0x41,0x21,0x82,0x70,0x80
6.059900,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
6.060800,0x06F,0,0,8,0xFB,0x9B,0xCD,0x42,0x29,0x92,0x70,0x7F
6.257400,0x06F,0,0,8,0xFD,0xBB,0x8D,0xC3,0xEE,0x21,0x50,0x7E
6.258050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
6.455400,0x06F,0,0,8,0xFF,0xA3,0xED,0xC2,0x05,0x4A,0x70,0x7D
6.456000,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
6.653850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
6.654850,0x06F,0,0,8,0x03,0xAC,0xCD,0x43,0x2C,0x4A,0x30,0x79
6.851400,0x06F,0,0,8,0x09,0xD4,0x4D,0xC4,0x05,0xE6,0x6F,0x7A
6.852000,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
7.049400,0x06F,0,0,8,0x0F,0xAC,0xAD,0x43,0xFA,0xB1,0x4F,0x77
7.050050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
7.247850,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
7.248000,0x06F,0,0,8,0x17,0xB4,0xAD,0x43,0xEC,0x69,0xCF,0x89
7.445400,0x06F,0,0,8,0x0F,0xDC,0x4D,0x44,0xE9,0x15,0xD0,0x80
7.446050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
7.643400,0x06F,0,0,8,0x0D,0xBC,0x6D,0x43,0xE7,0x15,0x70,0x7C
7.644050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
7.841400,0x06F,0,0,8,0x19,0x84,0x4D,0x43,0xF3,0xC5,0xB0,0x81
7.842050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
8.039400,0x06F,0,0,8,0x05,0xA4,0xED,0x42,0xF5,0xF1,0x50,0x85
8.040050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
8.237400,0x06F,0,0,8,0x01,0xA4,0x0D,0xC3,0xFB,0x35,0xF0,0x81
8.238050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
8.435400,0x06F,0,0,8,0xFD,0xAB,0xED,0x42,0xF4,0xC5,0x2F,0x83
8.436300,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
8.633400,0x06F,0,0,8,0xFD,0xAB,0xED,0xC2,0xFE,0xE9,0xCF,0x7F
8.634050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
8.831400,0x06F,0,0,8,0x01,0xA4,0xAD,0xC2,0x09,0xF6,0x8F,0x7D
8.832050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
9.029400,0x06F,0,0,8,0x03,0x8C,0xCD,0x42,0xFE,0xF1,0x2F,0x7D
9.030050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
9.227400,0x06F,0,0,8,0x03,0xBC,0xAD,0xC2,0x07,0x0E,0xF0,0x7D
9.228050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
9.425400,0x06F,0,0,8,0x0B,0x94,0x2D,0xC3,0x0A,0xA6,0xAF,0x7C
9.426050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
9.623400,0x06F,0,0,8,0x05,0xBC,0xED,0x42,0x00,0xBE,0xAF,0x80
9.624300,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
9.821450,0x06F,0,0,8,0x0D,0xB4,0x4D,0xC3,0xFD,0xF9,0x8F,0x7F
9.822100,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
10.019450,0x06F,0,0,8,0x0D,0x9C,0x0D,0xC3,0x05,0xD2,0xCF,0x80
10.020100,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
10.217450,0x06F,0,0,8,0x0D,0xAC,0x4D,0x43,0x03,0xDA,0xAF,0x7F
10.218200,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
10.415450,0x06F,0,0,8,0x0F,0xBC,0x6D,0x43,0xFE,0xF5,0x4F,0x7F
10.416250,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
10.613450,0x06F,0,0,8,0x0F,0xAC,0x2D,0xC3,0xFF,0xFD,0xEF,0x7F
10.614050,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
10.811450,0x06F,0,0,8,0x0F,0xAC,0x6D,0xC3,0xFE,0xF1,0xEF,0x7F
10.812300,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
11.009450,0x06F,0,0,8,0x0D,0xAC,0x4D,0x43,0xFC,0xF9,0x2F,0x80
11.010300,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
11.207450,0x06F,0,0,8,0x0F,0x9C,0x2D,0x43,0x03,0xFA,0x8F,0x80
11.208100,0x065,0,0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
