timestamps,CAN_DataFrame.CAN_DataFrame.BusChannel,CAN_DataFrame.CAN_DataFrame.ID,CAN_DataFrame.CAN_DataFrame.IDE,CAN_DataFrame.CAN_DataFrame.DLC,CAN_DataFrame.CAN_DataFrame.DataLength,CAN_DataFrame.CAN_DataFrame.DataBytes,CAN_DataFrame.CAN_DataFrame.Dir
2.8935999999999997,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
2.8949499999999997,9.0,111,0.0,8,8.0,[105  68 175  58  19  70 145 141],0.0
3.09185,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
3.09285,9.0,111,0.0,8,8.0,[111 252 238 184  87 242 142 155],0.0
3.2935999999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
3.2948999999999997,9.0,111,0.0,8,8.0,[ 89 140 238 185  57  34 243 135],0.0
3.4858499999999997,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
3.48685,9.0,111,0.0,8,8.0,[ 83 164 142  58 232   1 210 143],0.0
3.6838499999999996,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
3.68485,9.0,111,0.0,8,8.0,[ 79  68 174 187 238  57 239 164],0.0
3.88135,9.0,111,0.0,8,8.0,[ 49 220  45  59  84  18 211 148],0.0
3.8819999999999997,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
4.0798499999999995,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
4.0808,9.0,111,0.0,8,8.0,[ 59 172 173 191 124  98  20 130],0.0
4.27785,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
4.2787999999999995,9.0,111,0.0,8,8.0,[ 59 164  77  64 112 218  52 123],0.0
4.475849999999999,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
4.4768,9.0,111,0.0,8,8.0,[ 69 164 109  66  17 130 242 129],0.0
4.67385,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
4.674799999999999,9.0,111,0.0,8,8.0,[ 55 236  77 194  33 106 113 135],0.0
4.871849999999999,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
4.8729499999999994,9.0,111,0.0,8,8.0,[ 35 180 109  66 221 129 112 142],0.0
5.06935,9.0,111,0.0,8,8.0,[ 15 116  45  66   8 206 209 132],0.0
5.069999999999999,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
5.2673499999999995,9.0,111,0.0,8,8.0,[  7 172 237 194 247 169 114 129],0.0
5.268,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
5.46585,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
5.46685,9.0,111,0.0,8,8.0,[  5 124 173  65 195  17  48 129],0.0
5.663399999999999,9.0,111,0.0,8,8.0,[ 13 140  77  66 253 141  16 126],0.0
5.66405,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
5.86185,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
5.8629999999999995,9.0,111,0.0,8,8.0,[243 179 205  65  33 130 112 128],0.0
6.0599,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
6.0607999999999995,9.0,111,0.0,8,8.0,[251 155 205  66  41 146 112 127],0.0
6.2574,9.0,111,0.0,8,8.0,[253 187 141 195 238  33  80 126],0.0
6.25805,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
6.4554,9.0,111,0.0,8,8.0,[255 163 237 194   5  74 112 125],0.0
6.4559999999999995,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
6.653849999999999,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
6.65485,9.0,111,0.0,8,8.0,[  3 172 205  67  44  74  48 121],0.0
6.8514,9.0,111,0.0,8,8.0,[  9 212  77 196   5 230 111 122],0.0
6.851999999999999,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
7.0493999999999994,9.0,111,0.0,8,8.0,[ 15 172 173  67 250 177  79 119],0.0
7.05005,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
7.24785,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
7.247999999999999,9.0,111,0.0,8,8.0,[ 23 180 173  67 236 105 207 137],0.0
7.445399999999999,9.0,111,0.0,8,8.0,[ 15 220  77  68 233  21 208 128],0.0
7.44605,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
7.6434,9.0,111,0.0,8,8.0,[ 13 188 109  67 231  21 112 124],0.0
7.64405,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
7.841399999999999,9.0,111,0.0,8,8.0,[ 25 132  77  67 243 197 176 129],0.0
7.8420499999999995,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
8.039399999999999,9.0,111,0.0,8,8.0,[  5 164 237  66 245 241  80 133],0.0
8.040049999999999,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
8.2374,9.0,111,0.0,8,8.0,[  1 164  13 195 251  53 240 129],0.0
8.23805,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
8.4354,9.0,111,0.0,8,8.0,[253 171 237  66 244 197  47 131],0.0
8.4363,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
8.6334,9.0,111,0.0,8,8.0,[253 171 237 194 254 233 207 127],0.0
8.63405,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
8.8314,9.0,111,0.0,8,8.0,[  1 164 173 194   9 246 143 125],0.0
8.832049999999999,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
9.029399999999999,9.0,111,0.0,8,8.0,[  3 140 205  66 254 241  47 125],0.0
9.03005,9.0,101,0.0,1,1.0,[0 0 0 0 0 0 0 0],0.0
