session,timestamp,kind,pid,pid_name,pid_unit,pid_group,value,value_kind,raw_hex
sd_2A73E1CC/00000034,3.1033999999999997,SF,652.0,SOC (BMS),%,Battery,40.4,numeric,04 62 02 8C 65 AA AA AA
sd_2A73E1CC/00000034,3.2534,SF,7739.0,HV Battery voltage,V,Battery,348.5,numeric,05 62 1E 3B 05 72 AA AA
sd_2A73E1CC/00000034,3.40345,FF,7741.0,HV Battery current,A,Battery,-4.96,partial,10 08 62 1E 3D 00 02 48
sd_2A73E1CC/00000034,3.5534,SF,10763.0,HV Battery temp (main value),°C,Battery,7.0,numeric,04 62 2A 0B 5E AA AA AA
sd_2A73E1CC/00000034,3.7034499999999997,SF,7694.0,HV Battery max temp and temp point,°C,Battery,8.125,numeric,07 62 1E 0E 02 08 00 13
sd_2A73E1CC/00000034,8.1037,SF,652.0,SOC (BMS),%,Battery,40.4,numeric,04 62 02 8C 65 AA AA AA
sd_2A73E1CC/00000034,8.25375,SF,7739.0,HV Battery voltage,V,Battery,348.5,numeric,05 62 1E 3B 05 72 AA AA
sd_2A73E1CC/00000034,8.40375,FF,7741.0,HV Battery current,A,Battery,-4.96,partial,10 08 62 1E 3D 00 02 48
sd_2A73E1CC/00000034,8.5537,SF,10763.0,HV Battery temp (main value),°C,Battery,7.0,numeric,04 62 2A 0B 5E AA AA AA
sd_2A73E1CC/00000034,8.70375,SF,7694.0,HV Battery max temp and temp point,°C,Battery,8.125,numeric,07 62 1E 0E 02 08 00 13
sd_2A73E1CC/00000034,13.104,SF,652.0,SOC (BMS),%,Battery,40.4,numeric,04 62 02 8C 65 AA AA AA
sd_2A73E1CC/00000034,13.25395,SF,7739.0,HV Battery voltage,V,Battery,348.5,numeric,05 62 1E 3B 05 72 AA AA
sd_2A73E1CC/00000034,13.404,FF,7741.0,HV Battery current,A,Battery,-4.96,partial,10 08 62 1E 3D 00 02 48
sd_2A73E1CC/00000034,13.5543,SF,10763.0,HV Battery temp (main value),°C,Battery,7.0,numeric,04 62 2A 0B 5E AA AA AA
sd_2A73E1CC/00000034,13.703999999999999,SF,7694.0,HV Battery max temp and temp point,°C,Battery,8.125,numeric,07 62 1E 0E 02 08 00 13
sd_2A73E1CC/00000034,18.10425,SF,652.0,SOC (BMS),%,Battery,40.4,numeric,04 62 02 8C 65 AA AA AA
sd_2A73E1CC/00000034,18.25425,SF,7739.0,HV Battery voltage,V,Battery,348.5,numeric,05 62 1E 3B 05 72 AA AA
sd_2A73E1CC/00000034,18.4043,FF,7741.0,HV Battery current,A,Battery,-4.96,partial,10 08 62 1E 3D 00 02 48
sd_2A73E1CC/00000034,18.554299999999998,SF,10763.0,HV Battery temp (main value),°C,Battery,7.0,numeric,04 62 2A 0B 5E AA AA AA
